Date;Amounts due from domestic correspondents;Amounts due to the Confederation;Balances from swap transactions against CHF;Banknotes in circulation;CHF securities;Claims from CHF repo transactions;Claims from USD repo transactions;Domestic money market claims;Foreign currency investments;Foreign currency liabilities;Gold holdings and claims from gold transactions;IMF SDR counterpart;International payment instruments;Liabilities from CHF repo transactions;Loan to stabilisation fund;Monetary assistance loans;Other assets;Other liabilities;Other sight liabilities;Other time liabilities;Provisions and equity capital;Reserve position in the IMF;SNB debt certificates;Secured loans;Sight deposits of domestic banks;Sight deposits of foreign banks and institutions;Total assets;Total liabilities
1996-12-01;514,50;1.654,80;0,00;32.447,60;4.821,50;0,00;0,00;1.581,70;49.328,40;0,00;11.903,90;0,00;290,00;0,00;0,00;204,30;1.813,80;2.154,90;204,10;0,00;31.104,60;2.067,80;0,00;0,00;4.927,38;32,70;72.526,10;72.526,10
1997-01-01;364,00;1.585,60;0,00;29.656,00;4.818,90;0,00;0,00;282,60;47.263,30;0,00;11.903,90;0,00;315,30;0,00;0,00;204,30;1.101,80;2.214,20;230,10;0,00;31.104,60;2.068,00;0,00;0,00;3.493,57;38,10;68.322,20;68.322,20
1997-02-01;132,60;1.677,50;0,00;29.508,40;4.811,70;0,00;0,00;1.633,90;46.147,10;0,00;11.903,90;0,00;414,00;0,00;0,00;204,30;1.104,50;2.347,40;197,90;0,00;31.104,60;1.999,00;0,00;0,00;3.456,77;58,50;68.351,10;68.351,10
1997-03-01;175,90;1.542,80;0,00;29.986,40;4.832,10;0,00;0,00;1.762,80;48.885,00;0,00;11.903,90;0,00;358,20;0,00;0,00;177,00;1.122,60;4.503,80;208,10;0,00;31.115,50;2.043,80;0,00;0,00;3.853,68;51,10;71.261,30;71.261,30
1997-04-01;352,00;1.919,10;0,00;29.273,20;4.831,00;0,00;0,00;645,30;48.188,30;0,00;11.903,90;0,00;292,80;0,00;0,00;177,00;1.472,70;4.158,90;182,30;0,00;31.116,50;2.043,90;0,00;0,00;3.185,99;70,90;69.906,80;69.906,80
1997-05-01;136,60;2.816,50;0,00;29.318,60;4.858,60;0,00;0,00;1.598,70;49.430,70;0,00;11.903,90;0,00;336,00;0,00;0,00;177,00;1.130,30;4.360,80;191,00;0,00;31.116,50;2.044,10;0,00;0,00;3.772,92;39,60;71.615,90;71.615,90
1997-06-01;341,40;1.864,30;0,00;29.437,80;4.908,00;0,00;0,00;1.897,60;48.304,00;0,00;11.903,90;0,00;289,90;0,00;0,00;234,70;1.202,00;4.166,10;222,10;0,00;31.116,50;2.028,70;0,00;0,00;4.249,07;54,60;71.110,40;71.110,40
1997-07-01;344,40;1.672,20;0,00;29.029,00;4.913,60;0,00;0,00;1.708,80;47.545,30;0,00;11.903,90;0,00;385,50;0,00;0,00;276,40;1.169,20;4.350,20;183,30;0,00;31.116,50;2.028,90;0,00;0,00;3.895,58;29,40;70.276,10;70.276,10
1997-08-01;216,40;1.248,30;0,00;28.907,80;4.945,30;0,00;0,00;1.148,50;47.643,50;0,00;11.903,90;0,00;486,80;0,00;0,00;276,40;1.138,20;4.541,20;185,80;0,00;31.116,50;2.060,30;0,00;0,00;3.784,35;35,40;69.819,30;69.819,30
1997-09-01;273,20;1.894,50;0,00;28.793,10;4.878,40;0,00;0,00;1.398,10;48.313,60;0,00;11.903,90;0,00;339,30;0,00;0,00;316,90;1.148,60;4.392,10;194,00;0,00;31.116,50;2.104,20;0,00;0,00;4.227,65;58,40;70.676,20;70.676,20
1997-10-01;364,10;1.585,10;0,00;29.142,00;4.925,90;0,00;0,00;1.273,60;48.107,50;0,00;11.903,90;0,00;284,60;0,00;0,00;316,90;1.147,80;4.609,90;188,70;0,00;31.116,50;2.104,40;0,00;0,00;3.740,13;46,50;70.428,80;70.428,80
1997-11-01;213,10;662,60;0,00;29.476,90;4.928,90;0,00;0,00;1.092,90;48.326,90;0,00;11.903,90;0,00;275,90;0,00;0,00;316,90;1.137,10;4.382,10;182,40;0,00;31.116,50;2.292,30;0,00;0,00;4.635,56;31,90;70.488,00;70.488,00
1997-12-01;415,40;2.457,30;0,00;32.141,80;4.941,00;0,00;0,00;673,50;53.270,60;0,00;11.906,60;0,00;452,40;0,00;0,00;315,40;1.164,70;1.522,70;230,30;0,00;34.404,20;2.765,00;0,00;0,00;5.100,85;47,30;75.904,50;75.904,50
1998-01-01;160,00;3.943,30;0,00;29.835,80;4.919,30;0,00;0,00;3.445,10;47.405,80;0,00;11.906,60;0,00;351,50;0,00;0,00;315,40;1.206,00;524,50;193,40;0,00;34.404,20;2.760,20;0,00;0,00;3.526,75;42,10;72.469,90;72.469,90
1998-02-01;57,60;3.180,60;0,00;29.641,10;4.943,00;0,00;0,00;2.670,90;47.294,20;0,00;11.906,60;0,00;481,10;0,00;0,00;315,40;1.201,90;676,70;204,80;0,00;34.404,20;3.281,60;0,00;0,00;3.975,84;68,90;72.152,20;72.152,20
1998-03-01;322,50;1.861,10;0,00;29.601,40;4.939,20;0,00;0,00;1.496,80;49.400,40;0,00;11.913,10;0,00;411,50;0,00;0,00;327,30;1.187,60;3.171,30;184,80;0,00;34.404,20;3.367,40;0,00;0,00;4.110,25;32,90;73.366,00;73.366,00
1998-04-01;298,60;4.277,50;0,00;29.901,70;4.936,30;5.230,40;0,00;0,00;47.410,50;0,00;11.913,10;0,00;374,90;0,00;0,00;382,70;1.193,00;2.589,80;193,20;0,00;34.405,20;3.387,90;0,00;0,00;3.730,85;29,00;75.127,40;75.127,40
1998-05-01;292,60;8.093,80;0,00;29.892,70;4.948,80;8.193,70;0,00;0,00;47.804,30;0,00;11.913,10;0,00;294,00;0,00;0,00;382,70;1.700,20;2.804,30;184,40;0,00;34.405,20;3.380,40;0,00;0,00;3.487,07;42,40;78.909,90;78.909,90
1998-06-01;352,60;7.732,50;0,00;30.000,60;4.908,50;8.117,60;0,00;0,00;49.036,00;0,00;11.921,20;0,00;378,10;0,00;0,00;408,50;1.223,80;3.330,80;186,40;0,00;34.405,20;3.680,20;0,00;0,00;4.344,78;26,00;80.026,30;80.026,30
1998-07-01;296,80;9.455,20;0,00;29.740,30;4.930,90;10.557,70;0,00;0,00;47.989,50;0,00;11.921,20;0,00;357,60;0,00;0,00;582,40;1.173,90;3.459,10;197,90;0,00;34.405,20;3.733,00;0,00;0,00;4.254,14;30,90;81.542,80;81.542,80
1998-08-01;259,10;9.550,70;0,00;29.584,40;4.963,10;10.542,60;0,00;0,00;48.194,60;0,00;11.921,20;0,00;243,70;0,00;0,00;582,40;1.176,30;3.569,90;206,40;0,00;34.405,20;3.842,50;0,00;0,00;4.379,66;29,30;81.725,50;81.725,50
1998-09-01;277,40;8.817,30;0,00;29.691,50;5.015,80;12.333,00;0,00;0,00;45.138,30;0,00;11.930,40;0,00;399,50;0,00;0,00;543,90;1.846,70;1.751,60;508,60;0,00;34.405,20;3.615,50;0,00;0,00;5.842,39;83,90;81.100,50;81.100,50
1998-10-01;195,10;13.777,10;0,00;29.832,00;5.028,40;14.268,10;0,00;0,00;48.817,80;0,00;11.930,40;0,00;157,60;0,00;0,00;543,90;1.216,00;1.709,00;230,10;0,00;34.405,20;3.615,60;0,00;0,00;5.639,13;180,40;85.772,90;85.772,90
1998-11-01;233,60;14.395,60;0,00;30.333,70;5.005,50;15.507,30;0,00;0,00;49.300,30;0,00;11.930,40;0,00;190,70;0,30;0,00;487,50;1.213,00;2.118,80;240,00;0,00;34.405,20;3.683,70;0,00;0,00;5.828,33;229,90;87.552,00;87.552,00
1998-12-01;378,80;15.119,60;0,00;33.218,80;5.010,00;17.348,30;0,00;0,00;52.805,70;175,90;11.930,20;0,00;390,80;0,00;0,00;768,30;1.158,10;1.773,30;236,10;0,00;35.313,40;3.070,60;0,00;0,00;6.860,14;163,50;92.860,70;92.860,70
1999-01-01;84,70;14.425,70;0,00;30.916,20;4.996,50;15.778,40;0,00;0,00;50.297,30;0,60;11.930,20;0,00;217,70;0,00;0,00;767,90;1.206,00;2.402,00;261,40;0,00;35.313,30;3.070,70;0,00;0,00;4.880,54;149,60;88.349,30;88.349,30
1999-02-01;123,50;12.226,40;0,00;30.604,50;4.984,50;15.440,70;0,00;0,00;48.823,40;177,80;11.930,20;0,00;95,30;0,00;0,00;711,50;1.249,80;2.880,60;266,50;0,00;35.313,30;3.150,40;0,00;0,00;4.906,59;133,70;86.509,30;86.509,30
1999-03-01;315,40;12.502,60;0,00;31.386,30;4.947,60;15.110,90;0,00;0,00;50.415,50;2,30;11.923,30;0,00;376,70;0,00;0,00;283,20;1.507,30;3.675,30;251,60;0,00;35.313,30;3.375,40;0,00;0,00;4.997,38;126,60;88.255,40;88.255,40
1999-04-01;244,30;14.439,60;0,00;30.936,40;4.966,60;16.942,70;0,00;0,00;50.201,20;179,90;11.923,30;0,00;132,30;0,00;0,00;283,20;1.200,10;2.282,90;223,30;0,00;35.314,20;3.122,50;0,00;0,00;5.517,58;122,30;89.016,30;89.016,30
1999-05-01;293,20;17.683,80;0,00;30.898,90;4.935,70;20.794,80;0,00;0,00;49.162,10;2,30;11.923,30;0,00;118,90;0,00;0,00;283,20;1.265,60;2.562,50;307,20;0,00;35.314,20;3.122,60;0,00;0,00;4.966,17;164,40;91.899,40;91.899,40
1999-06-01;365,70;19.689,20;0,00;30.919,50;4.819,90;20.673,70;0,00;0,00;51.930,80;0,50;11.917,80;0,00;214,70;0,00;0,00;290,10;1.145,30;3.040,70;218,30;0,00;35.313,80;3.138,30;0,00;0,00;5.148,52;165,80;94.496,20;94.496,20
1999-07-01;246,60;18.763,90;0,00;30.589,50;4.850,60;22.152,70;0,00;0,00;48.597,10;234,40;11.917,80;0,00;133,40;1,10;0,00;290,10;1.186,00;3.192,50;299,50;0,00;35.313,70;3.138,30;0,00;0,00;3.976,20;141,80;92.512,60;92.512,60
1999-08-01;201,50;21.157,30;0,00;30.477,70;4.883,00;23.793,70;0,00;0,00;50.633,30;711,80;11.917,80;0,00;155,10;0,00;0,00;290,10;1.177,60;3.574,40;224,30;0,00;35.313,70;2.813,70;0,00;0,00;4.238,97;167,50;95.865,70;95.865,70
1999-09-01;294,00;17.520,60;0,00;30.877,80;4.828,10;19.653,30;0,00;0,00;50.641,80;758,90;11.929,20;0,00;133,60;0,00;0,00;290,40;1.192,10;2.380,10;235,70;0,00;35.313,60;2.722,70;0,00;0,00;4.431,31;167,00;91.685,10;91.685,10
1999-10-01;185,80;17.660,40;0,00;30.950,40;4.870,90;18.552,30;0,00;0,00;50.851,50;688,30;11.929,20;0,00;281,30;0,00;0,00;290,40;1.176,80;2.602,30;207,00;0,00;35.313,60;2.718,10;0,00;0,00;3.258,47;176,00;90.856,40;90.856,40
1999-11-01;232,90;17.139,10;0,00;32.240,40;4.897,30;19.903,30;0,00;0,00;50.216,20;161,80;11.929,20;0,00;310,00;0,00;0,00;290,40;1.498,00;2.918,00;253,20;0,00;35.313,50;2.550,20;0,00;0,00;3.598,60;202,90;91.827,60;91.827,60
1999-12-01;390,80;16.862,00;0,00;37.184,80;4.884,90;28.136,00;0,00;0,00;54.608,20;355,10;11.938,60;0,00;756,40;6,50;0,00;306,50;1.139,90;1.774,40;295,40;0,00;38.263,30;2.677,60;0,00;0,00;9.883,34;214,00;104.838,90;104.838,90
2000-01-01;224,90;16.211,40;0,00;32.392,20;4.910,30;21.796,40;0,00;0,00;48.824,60;7,20;11.938,60;0,00;626,90;0,00;0,00;306,50;1.201,30;2.078,70;246,10;0,00;38.262,80;2.614,00;0,00;0,00;3.046,46;198,70;92.443,50;92.443,50
2000-02-01;154,30;12.084,30;0,00;31.926,60;4.992,30;21.707,40;0,00;0,00;46.080,60;7,00;11.938,60;0,00;609,60;0,00;0,00;306,50;1.198,40;2.527,10;242,40;0,00;38.262,60;2.614,10;0,00;0,00;4.361,66;190,20;89.601,80;89.601,80
2000-03-01;328,60;10.334,10;0,00;32.049,70;4.820,00;20.506,70;0,00;0,00;46.833,30;343,00;11.944,70;0,00;459,80;0,00;0,00;313,90;1.115,30;2.889,10;231,80;0,00;38.262,40;2.699,40;0,00;0,00;4.721,64;189,80;89.021,50;89.021,50
2000-04-01;139,60;7.431,80;0,00;32.094,00;4.863,30;16.959,70;0,00;0,00;46.988,00;332,90;11.944,70;0,00;314,20;0,00;0,00;313,90;1.221,30;3.021,30;228,20;0,00;38.262,10;2.399,60;0,00;0,00;3.591,32;182,50;85.144,10;85.144,10
2000-05-01;209,60;12.852,10;0,00;31.686,60;4.889,90;20.370,70;0,00;0,00;47.874,00;585,70;39.273,70;0,00;442,60;0,00;0,00;259,10;1.174,80;29.584,30;244,80;0,00;38.262,90;2.399,70;0,00;0,00;3.517,86;159,70;116.894,00;116.894,00
2000-06-01;206,00;15.347,60;0,00;31.844,00;4.870,80;24.419,70;0,00;0,00;46.470,40;365,40;38.396,60;0,00;475,40;0,00;0,00;255,80;1.115,40;27.510,30;217,20;0,00;38.262,60;2.272,90;0,00;0,00;4.774,21;161,80;118.483,10;118.483,10
2000-07-01;119,60;15.555,80;0,00;31.520,00;4.795,60;23.007,70;0,00;0,00;47.759,00;563,80;38.105,90;0,00;334,30;0,00;0,00;270,80;1.181,10;28.282,10;204,60;0,00;38.262,10;2.273,10;0,00;0,00;3.304,72;154,10;117.847,20;117.847,20
2000-08-01;185,90;14.472,70;0,00;31.296,50;4.940,80;21.791,70;0,00;0,00;48.323,30;516,80;37.730,50;0,00;466,20;0,00;0,00;270,80;1.284,10;28.520,80;217,30;0,00;38.261,80;2.139,20;0,00;0,00;3.706,04;140,70;117.132,60;117.132,60
2000-09-01;119,40;14.851,80;0,00;31.577,60;5.068,90;24.214,50;0,00;0,00;49.783,40;131,40;37.701,20;0,00;289,50;0,00;0,00;275,90;1.142,70;30.248,40;314,40;0,00;38.261,50;2.158,50;0,00;0,00;5.179,79;189,10;120.754,00;120.754,00
2000-10-01;175,00;12.287,70;0,00;31.525,10;5.109,20;19.321,50;0,00;0,00;50.382,30;1,60;37.433,00;0,00;166,50;0,00;0,00;263,40;1.324,20;30.578,20;192,70;0,00;38.261,20;2.158,70;0,00;0,00;3.327,08;160,40;116.333,90;116.333,90
2000-11-01;102,30;10.546,30;0,00;32.056,50;5.211,80;18.605,50;0,00;0,00;50.925,90;280,70;37.166,50;0,00;185,10;0,40;0,00;278,80;1.109,90;30.893,30;244,60;0,00;38.260,80;2.155,60;0,00;0,00;3.281,82;176,90;115.741,50;115.741,50
2000-12-01;276,30;10.052,70;0,00;35.485,70;5.409,80;24.182,00;0,00;0,00;50.452,80;440,20;34.724,80;0,00;268,50;0,00;0,00;352,40;1.353,00;1.635,60;161,50;0,00;64.925,70;2.078,80;0,00;0,00;6.193,60;203,40;119.098,40;119.098,40
2001-01-01;142,46;6.856,11;0,00;32.454,75;5.522,44;17.967,03;0,00;0,00;47.351,78;0,49;34.481,19;0,00;130,67;0,00;0,00;352,42;1.376,74;117,41;209,02;0,00;66.607,30;2.186,70;0,00;0,00;3.093,25;174,17;109.511,41;109.511,41
2001-02-01;50,44;5.346,39;0,00;32.595,65;5.580,95;17.321,03;0,00;0,00;49.032,47;1.443,82;34.258,96;0,00;253,32;0,00;0,00;352,42;1.386,28;110,59;235,56;0,00;67.141,92;2.110,39;0,00;0,00;3.317,90;156,52;110.346,26;110.346,26
2001-03-01;95,56;4.566,83;0,00;32.759,75;5.648,78;19.001,79;0,00;0,00;49.456,32;448,81;34.122,88;0,00;213,27;0,00;0,00;357,02;1.164,83;376,37;254,05;0,00;68.345,61;2.149,32;0,00;0,00;5.263,87;195,60;112.209,76;112.209,76
2001-04-01;50,70;4.968,65;0,00;33.031,35;5.707,40;16.731,79;0,00;0,00;51.072,71;2.319,67;33.908,17;0,00;184,76;0,00;0,00;357,02;1.113,10;385,90;198,93;0,00;67.007,39;2.094,77;0,00;0,00;3.101,62;209,63;111.220,43;111.220,43
2001-05-01;102,10;7.097,06;0,00;33.019,33;5.693,59;18.807,79;0,00;0,00;50.967,78;2.366,43;33.655,34;0,00;681,39;0,00;0,00;357,02;1.308,22;379,26;220,78;0,00;67.303,22;2.242,07;0,00;0,00;3.193,41;236,82;113.815,30;113.815,30
2001-06-01;55,39;10.004,26;0,00;33.405,64;5.667,26;24.403,36;0,00;0,00;50.673,98;1.447,93;36.220,08;0,00;853,73;0,00;0,00;366,76;1.136,50;489,57;227,97;0,00;70.616,37;2.278,93;0,00;0,00;5.232,70;232,65;121.655,99;121.655,99
2001-07-01;14,87;5.924,63;0,00;33.301,99;5.667,84;18.410,36;0,00;0,00;50.590,91;803,48;35.956,02;0,00;545,46;0,00;0,00;366,76;1.156,42;480,82;208,26;0,00;70.884,03;2.474,27;0,00;0,00;3.321,13;263,31;115.182,91;115.182,91
2001-08-01;50,55;6.357,40;0,00;33.104,15;5.820,29;19.012,36;0,00;0,00;51.848,90;1.501,82;35.696,32;0,00;517,95;0,00;0,00;366,76;1.104,27;480,34;232,02;0,00;71.208,92;2.411,10;0,00;0,00;3.709,92;237,36;116.828,50;116.828,50
2001-09-01;21,16;5.436,96;0,00;33.583,74;5.968,94;20.233,81;0,00;0,00;49.403,14;652,26;34.291,86;0,00;312,84;0,00;0,00;339,19;1.347,07;209,93;194,79;0,00;68.418,70;2.598,39;0,00;0,00;5.744,97;275,04;114.516,40;114.516,40
2001-10-01;9,79;2.319,93;0,00;33.961,96;6.005,09;15.007,81;0,00;0,00;49.716,66;887,48;33.909,28;0,00;259,10;0,37;0,00;339,19;1.502,44;210,03;222,38;0,00;68.575,86;2.588,24;0,00;0,00;2.888,01;271,59;109.337,61;109.337,61
2001-11-01;16,00;1.926,97;0,00;34.980,15;6.082,81;16.801,81;0,00;0,00;49.751,27;876,32;33.547,95;0,00;275,49;0,00;0,00;339,19;1.370,44;211,53;206,35;0,00;68.915,46;2.450,41;0,00;0,00;3.375,44;143,15;110.635,37;110.635,37
2001-12-01;73,67;2.406,00;0,00;39.844,69;5.999,99;25.912,09;0,00;0,00;50.580,84;1.469,66;32.982,36;0,00;476,27;0,00;0,00;347,18;1.115,03;323,36;182,72;0,00;68.979,95;2.665,72;0,00;0,00;6.316,92;629,82;120.153,14;120.153,14
2002-01-01;13,57;2.372,62;0,00;36.188,20;6.056,54;19.488,09;0,00;0,00;50.729,48;1.458,34;32.608,26;0,00;347,32;0,00;0,00;347,18;1.143,08;1.831,72;196,26;0,00;67.800,31;2.665,82;0,00;0,00;3.396,64;155,24;113.399,32;113.399,32
2002-02-01;21,19;1.130,79;0,00;35.875,68;5.930,76;18.807,09;0,00;0,00;50.575,08;711,51;32.246,65;0,00;300,71;0,00;0,00;347,18;1.209,16;1.831,35;247,20;0,00;68.088,96;2.679,58;0,00;0,00;4.073,57;158,32;112.117,39;112.117,39
2002-03-01;8,11;3.242,08;0,00;36.310,91;5.949,75;22.513,03;0,00;0,00;51.130,61;1.862,66;34.906,21;0,00;274,00;0,00;0,00;340,59;1.124,41;1.750,22;197,66;0,00;70.058,00;2.561,98;0,00;0,00;5.180,74;206,77;118.808,70;118.808,70
2002-04-01;16,63;5.096,10;0,00;35.668,62;6.075,19;21.953,03;0,00;0,00;48.402,59;184,04;34.523,94;0,00;545,26;0,00;0,00;340,59;1.128,81;242,06;199,05;0,00;70.193,64;2.652,02;0,00;0,00;3.892,73;162,18;115.638,07;115.638,07
2002-05-01;26,81;8.854,41;0,00;35.297,24;6.165,27;25.108,03;0,00;0,00;49.940,57;819,56;34.125,19;0,00;444,75;0,00;0,00;340,59;1.140,27;239,47;201,87;0,00;70.483,58;2.494,54;0,00;0,00;3.737,52;153,12;119.786,02;119.786,02
2002-06-01;13,58;12.527,56;0,00;35.360,22;6.375,51;30.424,45;0,00;0,00;49.408,95;423,16;31.396,93;0,00;173,09;0,00;0,00;324,39;1.567,27;121,62;181,28;0,00;67.615,33;2.746,46;0,00;0,00;5.926,24;275,98;122.430,64;122.430,64
2002-07-01;0,51;8.461,52;0,00;35.226,18;6.445,10;22.811,45;0,00;0,00;50.973,27;470,52;31.009,62;0,00;183,18;0,00;0,00;324,39;1.594,19;124,81;178,58;0,00;67.905,72;2.653,96;0,00;0,00;3.459,07;170,38;115.995,68;115.995,68
2002-08-01;1,44;10.138,66;0,00;34.778,02;6.619,82;24.304,45;0,00;0,00;49.968,82;16,72;30.657,06;0,00;556,29;0,00;0,00;324,39;1.600,41;122,55;177,63;0,00;68.196,52;2.693,66;0,00;0,00;3.103,04;194,29;116.726,34;116.726,34
2002-09-01;0,69;10.365,44;0,00;34.967,79;6.893,43;27.106,21;0,00;0,00;52.866,98;310,05;30.704,00;0,00;475,45;0,00;0,00;322,96;1.220,97;157,78;181,72;0,00;70.549,19;2.653,73;0,00;0,00;5.497,13;216,87;122.244,42;122.244,42
2002-10-01;7,34;8.594,68;0,00;35.050,77;6.987,05;23.009,21;0,00;0,00;53.990,56;683,29;30.310,55;0,00;284,04;0,00;0,00;322,96;1.221,67;156,89;207,54;0,00;70.726,49;2.653,73;0,00;0,00;3.161,92;208,06;118.787,10;118.787,10
2002-11-01;5,54;6.932,67;0,00;35.701,33;6.955,91;21.803,21;0,00;0,00;54.414,20;433,04;29.943,93;0,00;194,90;0,00;0,00;322,96;1.289,52;157,97;208,46;0,00;70.995,77;2.618,58;0,00;0,00;2.945,72;175,66;117.548,65;117.548,65
2002-12-01;29,80;7.092,40;0,00;39.600,21;7.018,35;27.977,17;0,00;0,00;52.941,18;146,56;29.339,60;0,00;102,98;0,00;0,00;316,47;1.587,86;190,15;159,90;0,00;69.720,35;2.669,83;0,00;0,00;4.516,90;556,77;121.983,25;121.983,25
2003-01-01;2,26;3.707,20;0,00;35.974,00;7.018,54;19.387,17;0,00;0,00;54.014,10;490,47;28.960,99;0,00;71,13;0,00;0,00;316,46;1.733,49;2.698,48;195,66;0,00;67.586,73;2.632,96;0,00;0,00;3.299,13;185,45;114.137,11;114.137,11
2003-02-01;4,51;3.865,60;0,00;35.846,43;7.136,76;20.401,17;0,00;0,00;53.270,52;7,79;28.630,49;0,00;63,73;0,00;0,00;312,64;2.153,09;2.696,48;202,04;0,00;67.909,78;2.632,96;0,00;0,00;3.886,71;191,07;114.605,89;114.605,89
2003-03-01;4,87;4.872,84;0,00;35.991,83;7.138,24;23.815,35;0,00;0,00;53.577,68;486,33;27.075,58;0,00;47,74;0,00;0,00;305,80;1.373,06;2.671,67;193,17;0,00;66.576,23;2.615,74;0,00;0,00;4.940,14;221,86;115.954,07;115.954,07
2003-04-01;5,06;6.484,04;0,00;36.425,93;7.264,99;23.500,35;0,00;0,00;52.860,50;444,80;26.715,61;0,00;19,34;0,00;0,00;313,40;1.384,58;164,18;200,77;0,00;66.729,75;2.774,57;0,00;0,00;4.097,17;291,78;114.838,42;114.838,42
2003-05-01;8,33;10.614,27;0,00;36.496,65;7.357,81;28.854,35;0,00;0,00;52.869,11;173,16;26.367,05;0,00;225,87;0,00;0,00;313,40;1.402,76;158,66;210,35;0,00;66.863,94;2.745,21;0,00;0,00;5.291,26;335,61;120.143,91;120.143,91
2003-06-01;5,62;11.009,16;0,00;36.227,78;7.499,58;30.495,48;0,00;0,00;56.197,94;691,03;26.806,25;0,00;193,17;0,00;0,00;327,62;1.292,00;287,58;192,77;0,00;70.144,96;2.941,06;0,00;0,00;6.942,64;262,81;125.758,73;125.758,73
2003-07-01;8,91;9.379,69;0,00;36.018,58;7.629,21;27.200,48;0,00;0,00;59.286,92;2.770,20;26.390,67;0,00;103,39;0,00;0,00;352,27;1.323,11;291,88;196,29;0,00;70.467,40;2.734,32;0,00;0,00;5.632,38;272,87;125.029,29;125.029,29
2003-08-01;8,40;8.790,09;0,00;35.703,53;7.659,28;26.828,48;0,00;0,00;58.415,33;1.430,94;26.052,84;0,00;144,53;0,00;0,00;352,27;1.340,62;287,82;201,58;0,00;70.734,12;2.734,42;0,00;0,00;6.145,83;242,26;123.536,17;123.536,17
2003-09-01;11,98;7.227,09;0,00;35.948,36;7.605,75;26.405,36;0,00;0,00;56.167,11;634,45;27.847,58;0,00;107,11;0,00;0,00;349,07;1.495,23;92,95;201,99;0,00;71.416,65;2.785,16;0,00;0,00;7.015,95;236,92;122.774,36;122.774,36
2003-10-01;3,91;3.927,44;0,00;35.910,10;7.690,71;21.357,36;0,00;0,00;56.777,95;596,07;27.445,99;0,00;44,92;0,00;0,00;349,07;1.507,63;91,43;207,44;0,00;71.636,80;2.710,85;0,00;0,00;5.118,51;400,60;117.888,39;117.888,39
2003-11-01;3,77;4.424,70;0,00;36.337,28;7.725,04;23.100,36;0,00;0,00;58.224,82;1.498,74;27.171,91;0,00;54,56;0,00;0,00;343,83;1.515,27;94,94;205,61;0,00;71.921,93;2.696,78;0,00;0,00;6.064,99;288,15;120.836,34;120.836,34
2003-12-01;36,83;2.853,07;0,00;40.543,99;7.657,86;27.097,66;0,00;0,00;56.311,73;130,47;27.128,03;0,00;45,84;0,00;0,00;327,21;1.630,59;174,78;153,42;0,00;71.269,33;2.561,89;0,00;0,00;7.186,62;485,97;122.797,65;122.797,65
2004-01-01;5,91;1.097,37;0,00;36.993,37;7.674,57;21.654,66;0,00;0,00;58.661,65;2.602,59;26.729,39;0,00;35,46;0,00;0,00;327,21;1.667,13;2.975,08;194,42;0,00;68.769,97;2.561,89;0,00;0,00;6.440,06;245,01;119.317,87;119.317,87
